any_restatement,restatement_fraud,restatement_error,restatement_other,restatement_accrules,restatement_chng_netincome,restatement_neg_chng_netincome,gvkey,fyear,cboard,supermajor,ppill,goldenparachute,eindex,sum_own,tobins_q,ln_q,ln_at,debt_ratio,capex,rd_to_at_zero,rd_to_sales_zero,rd_missing,sum_own_sq,return_on_asset,stkname,instown_perc,sector
0,0,0,0,0,0,0,1161,2012,0,0,0,1,3,.399,1.2933,.2571971,8.294049,.5105,.03325,.2548251,.2497233,0,.159201,-.29575,"ADVANCED MICRO DEVICES INC",.39867,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2013,0,0,0,1,3,.681,1.521501,.4196974,8.374938,.4745215,.0193682,.2548251,.2266465,0,.463761,-.0191377,"ADVANCED MICRO DEVICES INC",.3437016,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2014,0,0,0,1,3,1.168,1.500377,.4057164,8.234035,.5872047,.025219,.2548251,.1946967,0,1.364224,-.1069817,"ADVANCED MICRO DEVICES INC",.3872574,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2015,0,0,0,1,3,.909,1.863635,.6225287,8.042056,.7275651,.0308781,.2548251,.2372839,0,.8262811,-.2122869,"ADVANCED MICRO DEVICES INC",.4197543,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2016,0,0,0,1,3,.452,4.064107,1.402194,8.108021,.4320988,.0231858,.2548251,.2359551,0,.204304,-.1496537,"ADVANCED MICRO DEVICES INC",.5428017,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2017,0,0,0,1,3,.751,3.632418,1.289899,8.171882,.3940678,.0319209,.2548251,.2176769,0,.564001,.0121469,"ADVANCED MICRO DEVICES INC",.5859398,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2018,0,0,0,1,3,1.415,4.791769,1.5669,8.4242,.2743635,.035777,.2548251,.2214672,0,2.002225,.0739684,"ADVANCED MICRO DEVICES INC",.6003028,"Electronic Equipment"
0,0,0,0,0,0,0,1177,2002,1,1,1,1,4,0,.9796892,-.0205199,10.59782,.0407816,.0038829,0,0,1,0,.0098183,"AETNA INC NEW",.8452043,"Insurance"
0,0,0,0,0,0,0,1177,2003,1,1,1,1,4,0,1.058207,.0565755,10.62011,.0394064,.0051477,0,0,1,0,.0228033,"AETNA INC NEW",.7650352,"Insurance"
0,0,0,0,0,0,0,1177,2004,1,0,0,1,2,0,1.21823,.1973992,10.6486,.0382046,.0045166,0,0,1,0,.0288391,"AETNA INC NEW",.8696716,"Insurance"
0,0,0,0,0,0,0,1177,2005,1,0,0,1,2,0,1.374021,.3177417,10.7002,.0361933,.006122,0,0,1,0,.0368424,"AETNA INC NEW",.8396041,"Insurance"
0,0,0,0,0,0,0,1177,2006,0,0,0,1,1,0,1.275809,.2435803,10.77114,.0522252,.0060996,0,0,1,0,.0353921,"AETNA INC NEW",.8624231,"Insurance"
0,0,0,0,0,0,0,1177,2007,0,0,0,0,2,0,1.364055,.3104622,10.83417,.0644499,.0078936,0,0,1,0,.0360968,"AETNA INC NEW",.8641407,"Insurance"
0,0,0,0,0,0,0,1177,2008,0,0,0,0,2,0,1.134388,.1260934,10.48717,.107496,.0124566,0,0,1,0,.0386054,"AETNA INC NEW",.8570291,"Insurance"
